tbl,Year,quarter,citymarketid_Dept,citymarketid_Arriv,Departure_city,Arrival_city,Airportid_Departure,Airportid_Arrival,D_airport_code,A_airport_code,Non_stop_Miles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,Geocoded_Departure,Geocoded_Arrival,tbl1apk
Table1a,2018,4,32575,33195,"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",12892,15304,LAX,TPA,2158,792,296.07,DL,0.3715,368.4,WN,0.338,241.02,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841289215304LAXTPA
Table1a,2018,4,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",12892,14747,LAX,SEA,978,4151,177.68,AS,0.5631,169.76,AS,0.5631,169.76,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841289214747LAXSEA
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12892,12264,LAX,IAD,2329,2059,310.32,UA,0.5517,357.82,AS,0.2095,226.8,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841289212264LAXIAD
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12892,11278,LAX,DCA,2329,1388,305.38,AA,0.4535,321.18,AS,0.202,260.36,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841289211278LAXDCA
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12892,10821,LAX,BWI,2329,1605,221.51,WN,0.4442,242.89,NK,0.1541,123.65,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841289210821LAXBWI
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",10800,10821,BUR,BWI,2329,51,281.68,WN,0.8174,265.32,WN,0.8174,265.32,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841080010821BURBWI
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",10800,11278,BUR,DCA,2329,18,337.78,WN,0.4464,264.13,WN,0.4464,264.13,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841080011278BURDCA
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",10800,12264,BUR,IAD,2329,16,312.92,UA,0.5608,339.25,WN,0.3108,264.27,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841080012264BURIAD
Table1a,2018,4,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",10800,14747,BUR,SEA,978,963,184.48,AS,0.7926,189.78,WN,0.1412,159.81,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841080014747BURSEA
Table1a,2018,4,32575,33195,"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",10800,15304,BUR,TPA,2158,35,300.37,WN,0.6978,266.6,WN,0.6978,266.6,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841080015304BURTPA
Table1a,2018,4,32575,33195,"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",13891,15304,ONT,TPA,2158,61,302.79,AA,0.4811,322.3,WN,0.4022,271.58,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841389115304ONTTPA
Table1a,2018,4,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",14908,14747,SNA,SEA,978,2073,188.01,AS,0.7614,186.28,AS,0.7614,186.28,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841490814747SNASEA
Table1a,2018,4,32575,33195,"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",14908,15304,SNA,TPA,2158,122,336.13,AA,0.3662,363.39,WN,0.1671,301.0,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841490815304SNATPA
Table1a,2018,4,32575,33195,"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",12954,15304,LGB,TPA,2158,7,314.95,WN,0.4062,266.98,WN,0.4062,266.98,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841295415304LGBTPA
Table1a,2018,4,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",12954,14747,LGB,SEA,978,292,168.73,B6,0.8015,169.93,WN,0.161,155.33,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841295414747LGBSEA
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",14908,12264,SNA,IAD,2329,86,368.96,UA,0.5296,368.29,UA,0.5296,368.29,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841490812264SNAIAD
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",14908,11278,SNA,DCA,2329,158,374.41,AA,0.4497,392.64,UA,0.2886,344.65,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841490811278SNADCA
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",14908,10821,SNA,BWI,2329,111,342.06,WN,0.4373,313.68,WN,0.4373,313.68,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841490810821SNABWI
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12954,12264,LGB,IAD,2329,6,257.0,DL,0.4074,262.59,WN,0.1111,172.83,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841295412264LGBIAD
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12954,11278,LGB,DCA,2329,20,252.35,AA,0.5978,233.63,AA,0.5978,233.63,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841295411278LGBDCA
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12954,10821,LGB,BWI,2329,17,268.95,WN,0.5833,260.3,B6,0.1667,216.87,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841295410821LGBBWI
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",13891,12264,ONT,IAD,2329,49,299.25,UA,0.46,301.71,WN,0.2044,256.17,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841389112264ONTIAD
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",13891,11278,ONT,DCA,2329,78,341.91,AA,0.549,391.6,WN,0.2353,290.29,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841389111278ONTDCA
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",13891,10821,ONT,BWI,2329,89,291.25,WN,0.6114,261.41,WN,0.6114,261.41,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841389110821ONTBWI
Table1a,2018,4,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",13891,14747,ONT,SEA,978,765,181.64,AS,0.6927,183.19,WN,0.1877,172.93,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841389114747ONTSEA
Table1a,2018,3,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12954,12264,LGB,IAD,2329,5,251.96,DL,0.4773,260.52,AA,0.25,218.55,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831295412264LGBIAD
Table1a,2018,3,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12954,11278,LGB,DCA,2329,15,263.76,AA,0.4851,244.65,AA,0.4851,244.65,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831295411278LGBDCA
Table1a,2018,3,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12954,10821,LGB,BWI,2329,13,291.38,AA,0.395,333.22,WN,0.3529,236.19,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831295410821LGBBWI
Table1a,2018,3,32575,33195,"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",12892,15304,LAX,TPA,2158,773,243.53,DL,0.4486,298.07,NK,0.2152,117.6,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831289215304LAXTPA
Table1a,2018,3,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",12892,14747,LAX,SEA,978,4746,171.07,AS,0.558,163.04,AS,0.558,163.04,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831289214747LAXSEA
Table1a,2018,3,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",13891,14747,ONT,SEA,978,855,182.83,AS,0.7044,184.17,WN,0.1718,183.88,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831389114747ONTSEA
Table1a,2018,3,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",13891,12264,ONT,IAD,2329,39,313.75,UA,0.433,315.31,WN,0.1872,287.44,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831389112264ONTIAD
Table1a,2018,3,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",10800,14747,BUR,SEA,978,1073,175.13,AS,0.8118,177.83,WN,0.1184,161.27,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831080014747BURSEA
Table1a,2018,3,32575,33195,"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",10800,15304,BUR,TPA,2158,31,262.15,WN,0.7368,246.0,WN,0.7368,246.0,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831080015304BURTPA
Table1a,2018,3,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",14908,10821,SNA,BWI,2329,125,318.46,WN,0.4939,292.16,WN,0.4939,292.16,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831490810821SNABWI
Table1a,2018,3,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",14908,11278,SNA,DCA,2329,157,351.23,UA,0.3267,300.8,UA,0.3267,300.8,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831490811278SNADCA
Table1a,2018,3,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",14908,12264,SNA,IAD,2329,90,324.58,UA,0.5448,325.65,UA,0.5448,325.65,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831490812264SNAIAD
Table1a,2018,3,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",13891,10821,ONT,BWI,2329,105,271.03,WN,0.6085,252.07,WN,0.6085,252.07,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831389110821ONTBWI
Table1a,2018,3,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",14908,14747,SNA,SEA,978,2175,183.61,AS,0.7358,180.07,AS,0.7358,180.07,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831490814747SNASEA
Table1a,2018,3,32575,33195,"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",13891,15304,ONT,TPA,2158,53,289.98,WN,0.4753,255.35,WN,0.4753,255.35,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831389115304ONTTPA
Table1a,2018,3,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12892,10821,LAX,BWI,2329,1739,215.59,WN,0.431,244.63,NK,0.1919,123.06,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831289210821LAXBWI
Table1a,2018,3,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12892,11278,LAX,DCA,2329,1353,301.51,AA,0.4461,320.81,AS,0.199,252.27,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831289211278LAXDCA
Table1a,2018,3,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",10800,10821,BUR,BWI,2329,43,272.27,WN,0.8265,260.5,WN,0.8265,260.5,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831080010821BURBWI
Table1a,2018,3,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",13891,11278,ONT,DCA,2329,85,349.19,AA,0.5873,372.91,WN,0.2025,308.97,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831389111278ONTDCA
Table1a,2018,3,32575,33195,"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",12954,15304,LGB,TPA,2158,5,276.51,AA,0.5106,299.24,DL,0.1702,271.25,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831295415304LGBTPA
Table1a,2018,3,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",10800,11278,BUR,DCA,2329,14,320.96,AA,0.3053,383.2,WN,0.2595,262.36,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831080011278BURDCA
Table1a,2018,3,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",12954,14747,LGB,SEA,978,403,175.28,B6,0.8548,176.22,WN,0.1043,161.02,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831295414747LGBSEA
Table1a,2018,3,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",10800,12264,BUR,IAD,2329,19,285.11,UA,0.5116,296.47,WN,0.3488,272.6,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831080012264BURIAD
Table1a,2018,3,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12892,12264,LAX,IAD,2329,2015,298.46,UA,0.5682,331.93,AS,0.2031,222.37,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831289212264LAXIAD
Table1a,2018,3,32575,33195,"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",14908,15304,SNA,TPA,2158,112,329.78,AA,0.3052,370.76,WN,0.2703,287.81,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201831490815304SNATPA
Table 1a,2018,2,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",14908,11278,SNA,DCA,2329,175,356.85,AA,0.3122,436.59,UA,0.3016,332.5,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",201821490811278SNADCA
Table 1a,2018,2,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",14908,10821,SNA,BWI,2329,131,349.82,WN,0.4866,312.9,WN,0.4866,312.9,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",201821490810821SNABWI
Table 1a,2018,2,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",13891,14747,ONT,SEA,978,862,163.84,AS,0.7276,162.17,AS,0.7276,162.17,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Seattle, WA
(47.603229, -122.33028)",201821389114747ONTSEA
Table 1a,2018,2,32575,33195,"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",13891,15304,ONT,TPA,2158,73,300.73,WN,0.4404,277.59,WN,0.4404,277.59,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)",201821389115304ONTTPA
Table 1a,2018,2,32575,33195,"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",12892,15304,LAX,TPA,2158,745,258.58,DL,0.4848,306.5,NK,0.2158,109.97,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)",201821289215304LAXTPA
Table 1a,2018,2,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",12892,14747,LAX,SEA,978,4920,159.36,AS,0.5575,150.91,AS,0.5575,150.91,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Seattle, WA
(47.603229, -122.33028)",201821289214747LAXSEA
Table 1a,2018,2,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",10800,11278,BUR,DCA,2329,15,338.69,WN,0.3835,290.41,WN,0.3835,290.41,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",201821080011278BURDCA
Table 1a,2018,2,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",10800,10821,BUR,BWI,2329,46,273.58,WN,0.7952,261.8,WN,0.7952,261.8,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",201821080010821BURBWI
Table 1a,2018,2,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",10800,12264,BUR,IAD,2329,19,332.99,UA,0.7069,337.44,WN,0.2241,295.27,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",201821080012264BURIAD
Table 1a,2018,2,32575,33195,"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",10800,15304,BUR,TPA,2158,29,285.88,WN,0.6955,262.21,WN,0.6955,262.21,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)",201821080015304BURTPA
Table 1a,2018,2,32575,33195,"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",12954,15304,LGB,TPA,2158,5,337.2,AA,0.8261,322.66,AA,0.8261,322.66,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)",201821295415304LGBTPA
Table 1a,2018,2,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",12954,14747,LGB,SEA,978,518,149.92,B6,0.8738,151.51,AA,0.0155,136.88,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Seattle, WA
(47.603229, -122.33028)",201821295414747LGBSEA
Table 1a,2018,2,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12954,12264,LGB,IAD,2329,5,323.81,B6,0.5455,294.92,B6,0.5455,294.92,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",201821295412264LGBIAD
Table 1a,2018,2,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12954,11278,LGB,DCA,2329,12,315.3,B6,0.581,325.44,AA,0.3714,300.91,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",201821295411278LGBDCA
Table 1a,2018,2,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12954,10821,LGB,BWI,2329,11,308.92,AA,0.4412,323.65,WN,0.3235,264.06,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",201821295410821LGBBWI
Table 1a,2018,2,32575,33195,"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",14908,15304,SNA,TPA,2158,120,333.38,UA,0.3,275.7,UA,0.3,275.7,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)",201821490815304SNATPA
Table 1a,2018,2,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",14908,14747,SNA,SEA,978,2054,176.74,AS,0.7543,173.28,AS,0.7543,173.28,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Seattle, WA
(47.603229, -122.33028)",201821490814747SNASEA
Table 1a,2018,2,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",13891,10821,ONT,BWI,2329,109,290.37,WN,0.6139,266.65,WN,0.6139,266.65,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",201821389110821ONTBWI
Table 1a,2018,2,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",13891,11278,ONT,DCA,2329,87,346.39,AA,0.5819,382.54,WN,0.2154,313.57,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",201821389111278ONTDCA
Table 1a,2018,2,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",13891,12264,ONT,IAD,2329,50,307.27,UA,0.362,330.37,F9,0.1744,153.13,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",201821389112264ONTIAD
Table 1a,2018,2,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",14908,12264,SNA,IAD,2329,82,342.84,UA,0.484,373.02,F9,0.1093,116.33,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",201821490812264SNAIAD
Table 1a,2018,2,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12892,12264,LAX,IAD,2329,2150,301.97,UA,0.5884,334.14,AS,0.1984,232.43,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",201821289212264LAXIAD
