tbl,Year,quarter,citymarketid,city,markets,cur_passengers,cur_fare,cur_yield,distance,ly_passengers,ly_fare,ly_yield,ly_distance,Geocoded_City,tbl2pk
Table 2,2018,4,35412,"Knoxville, TN",6,160310,185.02,31.28,591.6,140460,176.49,29.32,601.9,,2018435412
Table 2,2018,4,35096,"Syracuse, NY",7,188720,195.2,26.05,749.2,182170,198.37,26.83,739.3,,2018435096
Table 2,2018,4,34685,"Savannah, GA",4,192840,184.65,24.85,743.1,179110,188.61,25.01,754,,2018434685
Table 2,2018,4,34653,"Tulsa, OK",11,311680,217.61,26.26,828.8,307590,211.03,25.87,815.8,,2018434653
Table 2,2018,4,34614,"Salt Lake City, UT",32,2272030,212.71,20.56,1034.6,2193920,200.75,19.63,1022.7,,2018434614
Table 2,2018,4,34576,"Rochester, NY",7,228010,189.46,33.91,558.8,209870,185.04,32.8,564.1,,2018434576
Table 2,2018,4,34570,"Reno, NV",10,473890,176.32,29.31,601.7,460650,168.45,28.17,598,,2018434570
Table 2,2018,4,34524,"Richmond, VA",13,505310,221.64,23.79,931.7,461990,230.14,25.08,917.6,,2018434524
Table 2,2018,4,34492,"Raleigh/Durham, NC",30,2077600,206.79,21.85,946.3,1931860,205.98,22.34,921.9,,2018434492
Table 2,2018,4,34321,"Portland, ME",3,123310,158.38,31.04,510.3,115600,162.07,33.28,487,,2018434321
Table 2,2018,4,34262,"Palm Springs, CA",6,246370,217.61,19.24,1130.8,209020,217.03,19.41,1118.4,,2018434262
Table 2,2018,4,34100,"Philadelphia, PA",39,3454780,236.33,19.89,1188.2,3390090,227.35,19.13,1188.3,,2018434100
Table 2,2018,4,34057,"Portland, OR",35,2827510,192.92,16.39,1177,2728980,183.3,15.45,1186.1,,2018434057
Table 2,2018,4,34027,"West Palm Beach/Palm Beach, FL",10,983120,230.57,22.72,1014.7,938490,207.43,20.63,1005.6,,2018434027
Table 2,2018,4,33851,"Oklahoma City, OK",13,473610,215.08,22.67,948.5,446510,218.69,22.98,951.6,,2018433851
Table 2,2018,4,33667,"Norfolk, VA (Metropolitan Area)",15,459230,232.91,20.34,1145.3,426880,235.11,20.66,1137.8,,2018433667
Table 2,2018,4,33570,"San Diego, CA",45,4024350,204.57,16.06,1274.1,3711870,200.47,15.65,1280.6,,2018433570
Table 2,2018,4,33495,"New Orleans, LA",32,2161720,205.93,19.84,1038,2008270,198.79,19.41,1024.4,,2018433495
Table 2,2018,4,33485,"Madison, WI",5,124640,278.77,25.21,1106,106580,283.11,24.95,1134.6,,2018433485
Table 2,2018,4,33342,"Milwaukee, WI",24,1041240,207.89,19.86,1046.8,1041270,194.39,18.87,1030.4,,2018433342
Table 2,2018,4,33316,"Omaha, NE",16,611800,200.34,20.34,985.1,577200,202.38,20.64,980.6,,2018433316
Table 2,2018,4,33244,"Memphis, TN",17,603180,228.16,25.12,908.3,586880,222.55,24.24,917.9,,2018433244
Table 2,2018,4,33214,"San Antonio, TX",29,1458840,217.42,19.78,1099.2,1347100,215.63,19.9,1083.5,,2018433214
Table 2,2018,4,33198,"Kansas City, MO",31,1779450,201.02,21.56,932.3,1750530,198.63,21.45,926,,2018433198
Table 2,2018,4,33195,"Tampa, FL (Metropolitan Area)",48,3535230,194.05,18.06,1074.7,3352210,189.49,17.77,1066.6,,2018433195
Table 2,2018,4,33192,"Sacramento, CA",27,2024250,182.99,19.04,961.2,1847800,180.93,19.36,934.6,,2018433192
Table 2,2018,4,33158,"Midland/Odessa, TX",2,109050,278.03,69.79,398.4,98920,267.74,67.21,398.4,,2018433158
Table 2,2018,4,33105,"Cincinnati, OH",23,1184310,198.98,20.66,963.2,1070510,191.8,19.97,960.3,,2018433105
Table 2,2018,4,33044,"Louisville, KY",14,454910,216.85,24.95,869.2,408410,221.76,25.4,873,,2018433044
Table 2,2018,4,32600,"Little Rock, AR",7,153050,246.56,30.91,797.7,145040,245.22,30.4,806.5,,2018432600
Table 2,2018,4,32575,"Los Angeles, CA (Metropolitan Area)",66,14222520,221.04,16.8,1315.8,13725890,209.07,15.96,1309.7,,2018432575
Table 2,2018,4,32467,"Miami, FL (Metropolitan Area)",54,6961910,209.22,17.22,1214.8,6680860,187.44,15.37,1219.3,,2018432467
Table 2,2018,4,32457,"San Francisco, CA (Metropolitan Area)",55,11069600,220.26,17.29,1274,10710690,209.94,16.47,1274.5,,2018432457
Table 2,2018,4,32337,"Indianapolis, IN",25,1464270,214.03,21.29,1005.5,1412450,203.02,20.35,997.5,,2018432337
Table 2,2018,4,32211,"Las Vegas, NV",60,6457360,183.9,15.31,1201.6,6147920,172.12,14.24,1208.5,,2018432211
Table 2,2018,4,31986,"Grand Rapids, MI",13,359480,207.66,19.52,1063.8,289440,213.65,19.86,1075.9,,2018431986
Table 2,2018,4,31884,"Spokane, WA",10,486060,157.8,24.78,636.7,445880,162.67,24.89,653.5,,2018431884
Table 2,2018,4,31871,"Greenville/Spartanburg, SC",5,136880,224.42,35.06,640,124980,209.1,32.57,642,,2018431871
Table 2,2018,4,31714,"Fort Myers, FL",20,1298980,221.22,19.69,1123.7,1248070,211.08,18.85,1119.6,,2018431714
Table 2,2018,4,31703,"New York City, NY (Metropolitan Area)",77,16700050,240.46,19.2,1252.2,15958690,231.74,18.61,1245.2,,2018431703
Table 2,2018,4,31650,"Minneapolis/St. Paul, MN",41,3666840,213.82,20.12,1062.8,3543220,205.38,19.53,1051.8,,2018431650
Table 2,2018,4,31454,"Orlando, FL",55,6550290,186.49,16.67,1118.7,6323970,179.43,15.99,1122.2,,2018431454
Table 2,2018,4,31453,"Houston, TX",54,4818980,229.93,22.36,1028.1,4637090,224.79,21.74,1034,,2018431453
Table 2,2018,4,31423,"Des Moines, IA",10,246810,220.32,20.28,1086.6,228310,224.2,20.69,1083.5,,2018431423
Table 2,2018,4,31295,"Detroit, MI",34,3154210,223.83,21.94,1020.1,3125210,210.92,20.84,1012.1,,2018431295
Table 2,2018,4,31136,"Jacksonville, FL",19,895730,211.39,21.8,969.5,785890,222.78,23.27,957.4,,2018431136
Table 2,2018,4,31123,"St. Louis, MO",35,1943150,216,23.22,930.3,1898670,213.28,23.06,924.8,,2018431123
Table 2,2018,4,31066,"Columbus, OH",24,1268210,210.35,22.78,923.5,1204010,208.21,22.5,925.2,,2018431066
Table 2,2018,4,31057,"Charlotte, NC",41,2422480,242.6,27.91,869.1,2387520,229.67,26.03,882.3,,2018431057
Table 2,2018,4,30994,"Charleston, SC",12,550540,201.54,24.17,833.7,495320,208.11,25.28,823.1,,2018430994
Table 2,2018,4,30977,"Chicago, IL",66,9777190,211.28,21.84,967.5,9796700,190.63,19.87,959.6,,2018430977
Table 2,2018,4,30852,"Washington, DC (Metropolitan Area)",69,9517990,219.53,20.76,1057.6,9385030,206.74,19.56,1057.1,,2018430852
Table 2,2018,4,30792,"Buffalo, NY",15,708500,182.47,19.4,940.4,700920,180.81,19.85,911,,2018430792
Table 2,2018,4,30721,"Boston, MA (Metropolitan Area)",52,7329340,212.33,17.37,1222.3,7002040,203.61,16.84,1209.2,,2018430721
Table 2,2018,4,30713,"Boise, ID",12,535410,160.64,27.69,580.2,486050,163.7,27.68,591.3,,2018430713
Table 2,2018,4,30693,"Nashville, TN",36,2414610,207.66,23.16,896.7,2176720,211.68,23.71,892.8,,2018430693
Table 2,2018,4,30647,"Cleveland, OH (Metropolitan Area)",27,1497610,205.7,20.88,985.4,1439320,198.12,19.98,991.6,,2018430647
Table 2,2018,4,30615,"El Paso, TX",12,407770,215.68,25.47,846.8,371030,216.63,25.78,840.3,,2018430615
Table 2,2018,4,30599,"Birmingham, AL",10,324830,235.77,30.23,779.8,296720,246.74,31.07,794.1,,2018430599
Table 2,2018,4,30559,"Seattle, WA",51,5466110,203.29,15.18,1339.4,5114830,198.57,14.79,1342.9,,2018430559
Table 2,2018,4,30529,"Hartford, CT",20,946250,227.6,18.89,1204.8,933690,221.49,18.24,1214.5,,2018430529
Table 2,2018,4,30466,"Phoenix, AZ",58,5587820,212.39,18.53,1146.5,5436410,199.81,17.35,1151.8,,2018430466
Table 2,2018,4,30436,"Tucson, AZ",12,417740,224.74,21.64,1038.5,389120,221.56,21.08,1051,,2018430436
Table 2,2018,4,30423,"Austin, TX",36,2503330,217.49,18.73,1161.4,2342440,210.15,18.11,1160.6,,2018430423
Table 2,2018,4,30397,"Atlanta, GA (Metropolitan Area)",60,6919360,207.16,23.62,877,6819510,197.75,22.32,886.1,,2018430397
Table 2,2018,4,30325,"Denver, CO",59,6869160,189.46,18.08,1047.7,6589960,180.77,17.26,1047.6,,2018430325
Table 2,2018,4,30257,"Albany, NY",10,302850,222.07,19.05,1166,297510,218.44,18.76,1164.6,,2018430257
Table 2,2018,4,30198,"Pittsburgh, PA",26,1395710,220.9,22.57,978.7,1373420,208.33,20.91,996.2,,2018430198
Table 2,2018,4,30194,"Dallas/Fort Worth, TX",66,7306360,223.52,22.73,983.4,7250030,198.8,20.19,984.9,,2018430194
Table 2,2018,4,30140,"Albuquerque, NM",18,746740,209.63,22.21,943.8,721580,200.79,21.16,949.1,,2018430140
Table 2,2018,3,35096,"Syracuse, NY",8,188830,216.69,22.68,955.4,162490,228.78,25.68,890.8,,2018335096
Table 2,2018,3,34685,"Savannah, GA",4,195290,170.34,22.81,746.6,184450,169.18,22.51,751.7,,2018334685
Table 2,2018,3,34653,"Tulsa, OK",9,264570,210.04,25.93,810,240190,208.18,25.78,807.6,,2018334653
Table 2,2018,3,34614,"Salt Lake City, UT",37,2481780,208.04,19.18,1084.6,2397310,200.54,19.08,1051.2,,2018334614
Table 2,2018,3,34576,"Rochester, NY",7,198950,196.35,26.27,747.3,189420,196.22,26,754.8,,2018334576
Table 2,2018,3,34570,"Reno, NV",13,581990,207.49,26.68,777.7,585090,192.1,24.42,786.5,,2018334570
Table 2,2018,3,34524,"Richmond, VA",12,447720,221.57,22.74,974.4,405710,228.42,23.26,982.2,,2018334524
Table 2,2018,3,34492,"Raleigh/Durham, NC",33,1947820,203.63,20.39,998.5,1819540,201.69,20.9,965.2,,2018334492
Table 2,2018,3,34321,"Portland, ME",6,236060,206.79,31.39,658.8,190870,226.98,36.67,619,,2018334321
Table 2,2018,3,34100,"Philadelphia, PA",41,3487340,228.18,18.76,1216.3,3357280,219.47,18.13,1210.4,,2018334100
Table 2,2018,3,34057,"Portland, OR",38,3152530,194.01,15.21,1275.5,3066370,189.34,14.9,1271.1,,2018334057
Table 2,2018,3,34027,"West Palm Beach/Palm Beach, FL",8,727850,182.06,17.96,1013.8,670710,172.72,17.22,1002.8,,2018334027
Table 2,2018,3,33851,"Oklahoma City, OK",14,464790,217.16,22.24,976.3,411350,221.22,22.57,980.2,,2018333851
Table 2,2018,3,33667,"Norfolk, VA (Metropolitan Area)",14,449110,243.4,18.84,1292.2,409030,254.03,19.07,1331.9,,2018333667
Table 2,2018,3,33570,"San Diego, CA",45,4163250,195.04,15.24,1279.8,3888400,195.16,15.21,1283.5,,2018333570
Table 2,2018,3,33495,"New Orleans, LA",30,1878700,187.67,18.37,1021.6,1745390,178.75,17.52,1020.2,,2018333495
Table 2,2018,3,33485,"Madison, WI",4,111490,246.06,28.72,856.9,102670,233.99,27.11,863,,2018333485
Table 2,2018,3,33342,"Milwaukee, WI",26,1139600,200.64,19.19,1045.4,1122250,191.03,17.97,1063,,2018333342
Table 2,2018,3,33316,"Omaha, NE",17,634040,197.84,19.65,1006.9,605870,196.71,19.46,1010.8,,2018333316
Table 2,2018,3,33244,"Memphis, TN",16,553050,225.85,24.42,924.9,537530,218.39,23.24,939.8,,2018333244
Table 2,2018,3,33214,"San Antonio, TX",29,1361720,209.33,18.92,1106.3,1259720,213.88,19.57,1092.8,,2018333214
Table 2,2018,3,33198,"Kansas City, MO",32,1794940,201.06,21.36,941.1,1788500,196.33,20.83,942.5,,2018333198
Table 2,2018,3,33195,"Tampa, FL (Metropolitan Area)",44,3105890,183.29,16.84,1088.4,2833140,180.69,16.68,1083.5,,2018333195
Table 2,2018,3,33192,"Sacramento, CA",26,1943190,183.85,18.95,970,1749380,187.72,19.61,957.4,,2018333192
Table 2,2018,3,33158,"Midland/Odessa, TX",2,106660,288.13,71.76,401.5,85490,270.54,68.71,393.7,,2018333158
Table 2,2018,3,33105,"Cincinnati, OH",25,1231770,189.18,19.1,990.5,1130730,175.36,17.56,998.8,,2018333105
Table 2,2018,3,33044,"Louisville, KY",14,414670,226.43,24.77,914,368380,228.63,25.68,890.2,,2018333044
Table 2,2018,3,32600,"Little Rock, AR",6,124240,241.71,28.34,853,122790,248.93,28.86,862.5,,2018332600
Table 2,2018,3,32575,"Los Angeles, CA (Metropolitan Area)",70,14414490,210.11,15.93,1319.3,13862960,201.13,15.26,1317.9,,2018332575
Table 2,2018,3,32467,"Miami, FL (Metropolitan Area)",49,6165650,179.2,14.71,1217.9,5919020,169.92,13.94,1218.7,,2018332467
Table 2,2018,3,32457,"San Francisco, CA (Metropolitan Area)",61,11544210,211.37,16.14,1309.7,10990520,207.57,15.87,1308,,2018332457
Table 2,2018,3,32337,"Indianapolis, IN",26,1389380,208.37,19.87,1048.6,1338900,200.45,19.42,1032.1,,2018332337
Table 2,2018,3,32211,"Las Vegas, NV",59,6690070,172.01,14.06,1223.2,6685640,169.11,13.88,1218.4,,2018332211
Table 2,2018,3,31986,"Grand Rapids, MI",13,335890,223.06,20.42,1092.4,292910,231.9,20.59,1126.2,,2018331986
Table 2,2018,3,31884,"Spokane, WA",14,536510,180.25,22.35,806.3,495030,178.1,21.73,819.5,,2018331884
Table 2,2018,3,31871,"Greenville/Spartanburg, SC",5,125590,232.29,36.95,628.6,113170,231.62,36.67,631.6,,2018331871
Table 2,2018,3,31714,"Fort Myers, FL",17,785030,180.92,16.55,1093.3,729660,182.13,16.78,1085.5,,2018331714
Table 2,2018,3,31703,"New York City, NY (Metropolitan Area)",78,16112570,229.5,17.86,1284.7,15383600,223.91,17.55,1275.8,,2018331703
Table 2,2018,3,31650,"Minneapolis/St. Paul, MN",40,3759830,209.28,19.89,1052.4,3611950,203.23,19.66,1033.8,,2018331650
Table 2,2018,3,31454,"Orlando, FL",53,5942430,167.58,14.84,1129.4,5745160,158.32,14.02,1129.4,,2018331454
Table 2,2018,3,31453,"Houston, TX",52,4624430,225.77,21.46,1052,4079050,209.56,19.69,1064.3,,2018331453
Table 2,2018,3,31423,"Des Moines, IA",9,224720,224.22,21.14,1060.5,210370,221.42,20.85,1062,,2018331423
Table 2,2018,3,31295,"Detroit, MI",34,3170370,210.06,19.91,1054.8,3107110,199.53,19.14,1042.5,,2018331295
Table 2,2018,3,31136,"Jacksonville, FL",16,781900,203.7,20.75,981.7,637820,217.78,22.38,973,,2018331136
Table 2,2018,3,31135,"Myrtle Beach, SC",8,207980,124.4,20.27,613.7,256130,119.05,19.18,620.7,,2018331135
Table 2,2018,3,31123,"St. Louis, MO",35,1908230,219.7,23.26,944.7,1863110,215.81,22.84,945.1,,2018331123
Table 2,2018,3,31066,"Columbus, OH",25,1199960,212.86,22.13,961.8,1161120,206.43,21.34,967.5,,2018331066
Table 2,2018,3,31057,"Charlotte, NC",39,2268560,241.12,26.57,907.5,2222900,230.76,25.23,914.5,,2018331057
Table 2,2018,3,30994,"Charleston, SC",13,559550,196.38,21.54,911.9,497230,206.84,23.2,891.6,,2018330994
Table 2,2018,3,30977,"Chicago, IL",70,10373560,202.84,20.59,985.3,10540750,176.73,18.07,978.3,,2018330977
Table 2,2018,3,30852,"Washington, DC (Metropolitan Area)",72,9275150,215.68,19.46,1108.2,9260380,203.26,18.5,1098.6,,2018330852
Table 2,2018,3,30849,"Bozeman, MT",5,101270,264.17,26.61,992.7,94530,249.9,25.02,998.8,,2018330849
Table 2,2018,3,30792,"Buffalo, NY",16,808970,187.39,19.54,958.9,760170,188.67,19.87,949.3,,2018330792
Table 2,2018,3,30721,"Boston, MA (Metropolitan Area)",51,7516670,204.48,16.12,1268.6,7138020,206.66,16.39,1260.9,,2018330721
Table 2,2018,3,30713,"Boise, ID",14,531130,171.84,25.29,679.5,492930,171.9,24.85,691.8,,2018330713
Table 2,2018,3,30693,"Nashville, TN",36,2322760,209.22,22.94,912.1,2117180,211.72,23.1,916.6,,2018330693
Table 2,2018,3,30647,"Cleveland, OH (Metropolitan Area)",29,1620740,201.6,19.14,1053.2,1535900,182.25,17.14,1063.2,,2018330647
Table 2,2018,3,30615,"El Paso, TX",11,362170,212.25,25.27,839.8,325470,223.02,26.81,831.9,,2018330615
Table 2,2018,3,30599,"Birmingham, AL",9,267790,234.27,28.64,818,231620,242.43,30.25,801.3,,2018330599
Table 2,2018,3,30559,"Seattle, WA",54,6421600,207.54,14.58,1423.7,6031700,203.72,14.44,1410.8,,2018330559
Table 2,2018,3,30529,"Hartford, CT",21,913540,221.76,17.38,1275.7,909210,214.89,17.04,1261.4,,2018330529
Table 2,2018,3,30466,"Phoenix, AZ",49,4464160,203.79,17.88,1139.9,4282920,189.45,16.66,1137.2,,2018330466
Table 2,2018,3,30436,"Tucson, AZ",10,301090,216.51,22.22,974.3,287980,210.36,21.43,981.7,,2018330436
Table 2,2018,3,30423,"Austin, TX",36,2374370,200.95,17.11,1174.3,2193100,199.17,16.89,1179.1,,2018330423
Table 2,2018,3,30397,"Atlanta, GA (Metropolitan Area)",60,6731370,203.16,22.66,896.3,6642930,188.99,21.11,895.4,,2018330397
Table 2,2018,3,30325,"Denver, CO",63,7629340,188.08,17.76,1058.7,7323590,172.93,16.41,1053.9,,2018330325
Table 2,2018,3,30257,"Albany, NY",10,305910,233.56,19.16,1219.1,304070,229.82,19,1209.6,,2018330257
Table 2,2018,3,30198,"Pittsburgh, PA",27,1407100,212.19,20.42,1039.3,1306580,200.88,19.21,1045.7,,2018330198
Table 2,2018,3,30194,"Dallas/Fort Worth, TX",69,7329330,209.95,21.09,995.6,7207570,194.96,19.49,1000.4,,2018330194
Table 2,2018,3,30189,"Colorado Springs, CO",5,104000,207.71,19.08,1088.5,109380,178.5,15.94,1119.4,,2018330189
Table 2,2018,3,30140,"Albuquerque, NM",17,739770,198.79,20.43,973.2,670940,207.38,21.01,987.1,,2018330140
Table 2,2018,2,35412,"Knoxville, TN",5,113880,197.71,33.25,594.6,107220,185.21,30.95,598.4,"Knoxville, TN
(35.962631, -83.916677)",2018235412
Table 2,2018,2,35096,"Syracuse, NY",7,180310,198.73,25.84,769,156200,208.76,27.29,765,"Syracuse, NY
(43.047945, -76.147448)",2018235096
Table 2,2018,2,34761,"Sanford, FL",5,111620,84.32,10.83,778.6,106600,88.55,11.51,769.2,"Sanford, FL
(37.78008, -122.420168)",2018234761
Table 2,2018,2,34685,"Savannah, GA",5,232610,193.79,26.25,738.3,205080,202.13,26.94,750.3,"Savannah, GA
(40.115007, -111.654713)",2018234685
Table 2,2018,2,34653,"Tulsa, OK",11,313310,224.61,27.49,817,286040,229.91,27.87,825,"Tulsa, OK
(61.096484, -160.967455)",2018234653
Table 2,2018,2,34614,"Salt Lake City, UT",31,2356410,204.29,19.25,1061.5,2167960,202.62,19.25,1052.4,"Salt Lake City, UT
(40.758478, -111.888142)",2018234614
Table 2,2018,2,34576,"Rochester, NY",6,198810,187.02,30.62,610.7,187260,192.41,30.04,640.5,"Rochester, NY
(43.155708, -77.612547)",2018234576
Table 2,2018,2,34570,"Reno, NV",12,522960,188.18,24.82,758.2,496620,183.07,24.11,759.2,"Reno, NV
(30.177159, -95.162771)",2018234570
Table 2,2018,2,34524,"Richmond, VA",12,462620,226.9,24.46,927.5,412560,243.77,25.77,945.9,"Richmond, VA
(37.540759, -77.433932)",2018234524
Table 2,2018,2,34492,"Raleigh/Durham, NC",30,2072390,207.51,21.33,972.9,1852660,215.12,22.67,948.8,"Raleigh/Durham, NC
(42.673348, -72.179683)",2018234492
Table 2,2018,2,34321,"Portland, ME",4,142050,178.29,31.2,571.4,126470,195.81,32.58,601,"Portland, ME
(45.516018, -122.681425)",2018234321
Table 2,2018,2,34262,"Palm Springs, CA",4,170270,212.29,21.28,997.4,145810,209.77,21.19,990,"Palm Springs, CA
(33.830302, -116.546843)",2018234262
Table 2,2018,2,34100,"Philadelphia, PA",41,3620340,228.85,19.17,1193.9,3567600,231.61,19.54,1185.1,"Philadelphia, PA
(39.951061, -75.16562)",2018234100
Table 2,2018,2,34057,"Portland, OR",39,3009630,189.94,15.35,1237.4,2860070,188.92,15.39,1227.7,"Portland, OR
(45.516018, -122.681425)",2018234057
Table 2,2018,2,34027,"West Palm Beach/Palm Beach, FL",10,931000,195.64,19.4,1008.7,921240,196.33,19.59,1002.1,"West Palm Beach/Palm Beach, FL
(33.90976, -98.500854)",2018234027
Table 2,2018,2,33851,"Oklahoma City, OK",13,454630,226.83,23.59,961.6,399520,233.7,24.48,954.7,"Oklahoma City, OK
(35.468494, -97.521264)",2018233851
Table 2,2018,2,33667,"Norfolk, VA (Metropolitan Area)",16,487830,248.77,20.64,1205.4,426350,266.45,21.23,1255.3,"Norfolk, VA (Metropolitan Area)
(36.846164, -76.285913)",2018233667
Table 2,2018,2,33570,"San Diego, CA",44,4107150,199.34,15.48,1288.1,3697070,213.31,16.45,1296.8,"San Diego, CA
(32.71576, -117.163817)",2018233570
Table 2,2018,2,33495,"New Orleans, LA",32,2210710,207.7,20.06,1035.5,2114660,203.77,19.96,1021,"New Orleans, LA
(29.950621, -90.074948)",2018233495
Table 2,2018,2,33342,"Milwaukee, WI",24,1139350,199.58,19.4,1028.7,1157750,196.42,18.44,1065.5,"Milwaukee, WI
(43.041072, -87.909421)",2018233342
Table 2,2018,2,33316,"Omaha, NE",18,699410,210.36,20.74,1014.2,622960,214.99,21.22,1013.1,"Omaha, NE
(46.07035, -93.666319)",2018233316
Table 2,2018,2,33244,"Memphis, TN",17,616070,236,25.34,931.4,587200,232.73,25.07,928.2,"Memphis, TN
(35.143378, -90.052136)",2018233244
Table 2,2018,2,33214,"San Antonio, TX",28,1417810,221.69,20.34,1090,1294880,228.15,21.14,1079.3,"San Antonio, TX
(29.425173, -98.494599)",2018233214
Table 2,2018,2,33198,"Kansas City, MO",32,1885880,205.94,21.92,939.4,1795710,208.44,22.14,941.6,"Kansas City, MO
(39.099792, -94.578559)",2018233198
Table 2,2018,2,33195,"Tampa, FL (Metropolitan Area)",46,3633770,188.06,17.51,1074.1,3469570,189.09,17.78,1063.5,"Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)",2018233195
Table 2,2018,2,33192,"Sacramento, CA",27,1984660,188.48,19.62,960.4,1764110,204.18,21.03,971.1,"Sacramento, CA
(38.582087, -121.50012)",2018233192
Table 2,2018,2,33158,"Midland/Odessa, TX",2,106620,286.08,71.3,401.2,89510,263.78,67.05,393.4,"Midland/Odessa, TX
(31.997433, -102.078043)",2018233158
Table 2,2018,2,33105,"Cincinnati, OH",24,1274870,187.88,19.19,979,1133680,194.88,19.4,1004.6,"Cincinnati, OH
(39.104427, -84.513808)",2018233105
